Normalized_error,Resolution
0.00059946,452.54833996
0.00097014,400.00000000
0.00004660,640.00000000
0.00004041,729.45184899
0.00003694,800.00000000
0.00003862,799.68993991
0.00003828,800.56230239
0.00003803,804.98447190
0.00003095,1000.00000000
0.00003126,976.16596949
0.00002465,1468.60478005
