Normalized_error,Resolution
0.00003651,452.54833996
0.00005295,400.00000000
0.00004979,640.00000000
0.00004451,729.45184899
0.00004925,800.00000000
0.00004261,799.68993991
0.00004245,800.56230239
0.00004297,804.98447190
0.00004941,1000.00000000
0.00004469,976.16596949
0.00004472,1468.60478005
